time,x,y
0.000000,0.650000,0.350000
0.100000,0.650019,0.346517
0.200000,0.650039,0.343070
0.300000,0.650058,0.339656
0.400000,0.650078,0.336276
0.500000,0.650097,0.332930
0.600000,0.650117,0.329618
0.700000,0.650136,0.326338
0.800000,0.650156,0.323091
0.900000,0.650175,0.319876
1.000000,0.650195,0.316693
1.100000,0.650214,0.313542
1.200000,0.650234,0.310422
1.300000,0.650253,0.307334
1.400000,0.650273,0.304276
1.500000,0.650292,0.301248
1.600000,0.650312,0.298251
1.700000,0.650331,0.295283
1.800000,0.650351,0.292345
1.900000,0.650370,0.289436
2.000000,0.650390,0.286556
2.100000,0.650409,0.283705
2.200000,0.650429,0.280882
2.300000,0.650448,0.278087
2.400000,0.650468,0.275320
2.500000,0.650487,0.272581
2.600000,0.650507,0.269869
2.700000,0.650526,0.267183
2.800000,0.650546,0.264525
2.900000,0.650565,0.261893
3.000000,0.650585,0.259287
3.100000,0.650604,0.256707
3.200000,0.650624,0.254153
3.300000,0.650643,0.251624
3.400000,0.650663,0.249120
3.500000,0.650682,0.246641
3.600000,0.650702,0.244187
3.700000,0.650721,0.241758
3.800000,0.650741,0.239352
3.900000,0.650760,0.236971
4.000000,0.650780,0.234613
4.100000,0.650799,0.232278
4.200000,0.650819,0.229967
4.300000,0.650838,0.227679
4.400000,0.650858,0.225413
4.500000,0.650877,0.223171
4.600000,0.650897,0.220950
4.700000,0.650916,0.218751
4.800000,0.650936,0.216575
4.900000,0.650955,0.214420
5.000000,0.650975,0.212286
5.100000,0.650994,0.210174
5.200000,0.651014,0.208083
5.300000,0.651033,0.206012
5.400000,0.651053,0.203963
5.500000,0.651072,0.201933
5.600000,0.651092,0.199924
5.700000,0.651111,0.197935
5.800000,0.651131,0.195965
5.900000,0.651151,0.194015
6.000000,0.651170,0.192085
6.100000,0.651190,0.190174
6.200000,0.651209,0.188281
6.300000,0.651229,0.186408
6.400000,0.651248,0.184553
6.500000,0.651268,0.182717
6.600000,0.651287,0.180899
6.700000,0.651307,0.179099
6.800000,0.651326,0.177317
6.900000,0.651346,0.175552
7.000000,0.651365,0.173806
7.100000,0.651385,0.172076
7.200000,0.651404,0.170364
7.300000,0.651424,0.168669
7.400000,0.651443,0.166991
7.500000,0.651463,0.165329
7.600000,0.651482,0.163684
7.700000,0.651502,0.162055
7.800000,0.651522,0.160443
7.900000,0.651541,0.158846
8.000000,0.651561,0.157266
8.100000,0.651580,0.155701
8.200000,0.651600,0.154152
8.300000,0.651619,0.152618
8.400000,0.651639,0.151100
8.500000,0.651658,0.149596
8.600000,0.651678,0.148108
8.700000,0.651697,0.146634
8.800000,0.651717,0.145175
8.900000,0.651736,0.143730
9.000000,0.651756,0.142300
9.100000,0.651776,0.140884
9.200000,0.651795,0.139482
9.300000,0.651815,0.138095
9.400000,0.651834,0.136721
9.500000,0.651854,0.135360
9.600000,0.651873,0.134013
9.700000,0.651893,0.132680
9.800000,0.651912,0.131360
9.900000,0.651932,0.130053
10.000000,0.651951,0.128759
10.100000,0.651971,0.127477
10.200000,0.651991,0.126209
10.300000,0.652010,0.124953
10.400000,0.652030,0.123710
10.500000,0.652049,0.122479
10.600000,0.652069,0.121260
10.700000,0.652088,0.120054
10.800000,0.652108,0.118859
10.900000,0.652127,0.117677
11.000000,0.652147,0.116506
11.100000,0.652167,0.115346
11.200000,0.652186,0.114199
11.300000,0.652206,0.113062
11.400000,0.652225,0.111937
11.500000,0.652245,0.110824
11.600000,0.652264,0.109721
11.700000,0.652284,0.108629
11.800000,0.652303,0.107548
11.900000,0.652323,0.106478
12.000000,0.652343,0.105419
12.100000,0.652362,0.104370
12.200000,0.652382,0.103331
12.300000,0.652401,0.102303
12.400000,0.652421,0.101285
12.500000,0.652440,0.100277
12.600000,0.652460,0.099280
12.700000,0.652480,0.098292
12.800000,0.652499,0.097314
12.900000,0.652519,0.096346
13.000000,0.652538,0.095387
13.100000,0.652558,0.094438
13.200000,0.652577,0.093498
13.300000,0.652597,0.092568
13.400000,0.652617,0.091647
13.500000,0.652636,0.090735
13.600000,0.652656,0.089832
13.700000,0.652675,0.088938
13.800000,0.652695,0.088053
13.900000,0.652714,0.087177
14.000000,0.652734,0.086310
14.100000,0.652754,0.085451
14.200000,0.652773,0.084601
14.300000,0.652793,0.083759
14.400000,0.652812,0.082925
14.500000,0.652832,0.082100
14.600000,0.652851,0.081283
14.700000,0.652871,0.080475
14.800000,0.652891,0.079674
14.900000,0.652910,0.078881
15.000000,0.652930,0.078096
15.100000,0.652949,0.077319
15.200000,0.652969,0.076550
15.300000,0.652989,0.075788
15.400000,0.653008,0.075034
15.500000,0.653028,0.074288
15.600000,0.653047,0.073548
15.700000,0.653067,0.072817
15.800000,0.653086,0.072092
15.900000,0.653106,0.071375
16.000000,0.653126,0.070665
16.100000,0.653145,0.069961
16.200000,0.653165,0.069265
16.300000,0.653184,0.068576
16.400000,0.653204,0.067894
16.500000,0.653224,0.067218
16.600000,0.653243,0.066549
16.700000,0.653263,0.065887
16.800000,0.653282,0.065232
16.900000,0.653302,0.064583
17.000000,0.653322,0.063940
17.100000,0.653341,0.063304
17.200000,0.653361,0.062674
17.300000,0.653380,0.062050
17.400000,0.653400,0.061433
17.500000,0.653420,0.060822
17.600000,0.653439,0.060216
17.700000,0.653459,0.059617
17.800000,0.653478,0.059024
17.900000,0.653498,0.058437
18.000000,0.653518,0.057855
18.100000,0.653537,0.057280
18.200000,0.653557,0.056710
18.300000,0.653576,0.056145
18.400000,0.653596,0.055587
18.500000,0.653616,0.055034
18.600000,0.653635,0.054486
18.700000,0.653655,0.053944
18.800000,0.653674,0.053407
18.900000,0.653694,0.052876
19.000000,0.653714,0.052350
19.100000,0.653733,0.051829
19.200000,0.653753,0.051313
19.300000,0.653772,0.050803
19.400000,0.653792,0.050297
19.500000,0.653812,0.049797
19.600000,0.653831,0.049301
19.700000,0.653851,0.048811
19.800000,0.653871,0.048325
19.900000,0.653890,0.047844
20.000000,0.653910,0.047368
20.100000,0.653929,0.046897
20.200000,0.653949,0.046430
20.300000,0.653969,0.045968
20.400000,0.653988,0.045511
20.500000,0.654008,0.045058
20.600000,0.654027,0.044609
20.700000,0.654047,0.044166
20.800000,0.654067,0.043726
20.900000,0.654086,0.043291
21.000000,0.654106,0.042860
21.100000,0.654126,0.042434
21.200000,0.654145,0.042012
21.300000,0.654165,0.041594
21.400000,0.654184,0.041180
21.500000,0.654204,0.040770
21.600000,0.654224,0.040364
21.700000,0.654243,0.039963
21.800000,0.654263,0.039565
21.900000,0.654283,0.039171
22.000000,0.654302,0.038782
22.100000,0.654322,0.038396
22.200000,0.654341,0.038014
22.300000,0.654361,0.037635
22.400000,0.654381,0.037261
22.500000,0.654400,0.036890
22.600000,0.654420,0.036523
22.700000,0.654440,0.036160
22.800000,0.654459,0.035800
22.900000,0.654479,0.035444
23.000000,0.654498,0.035091
23.100000,0.654518,0.034742
23.200000,0.654538,0.034396
23.300000,0.654557,0.034054
23.400000,0.654577,0.033715
23.500000,0.654597,0.033380
23.600000,0.654616,0.033048
23.700000,0.654636,0.032719
23.800000,0.654656,0.032393
23.900000,0.654675,0.032071
24.000000,0.654695,0.031752
24.100000,0.654714,0.031436
24.200000,0.654734,0.031123
24.300000,0.654754,0.030813
24.400000,0.654773,0.030507
24.500000,0.654793,0.030203
24.600000,0.654813,0.029903
24.700000,0.654832,0.029605
24.800000,0.654852,0.029311
24.900000,0.654872,0.029019
25.000000,0.654891,0.028730
25.100000,0.654911,0.028444
25.200000,0.654931,0.028161
25.300000,0.654950,0.027881
25.400000,0.654970,0.027604
25.500000,0.654989,0.027329
25.600000,0.655009,0.027057
25.700000,0.655029,0.026788
25.800000,0.655048,0.026521
25.900000,0.655068,0.026257
26.000000,0.655088,0.025996
26.100000,0.655107,0.025738
26.200000,0.655127,0.025481
26.300000,0.655147,0.025228
26.400000,0.655166,0.024977
26.500000,0.655186,0.024728
26.600000,0.655206,0.024482
26.700000,0.655225,0.024239
26.800000,0.655245,0.023998
26.900000,0.655265,0.023759
27.000000,0.655284,0.023522
27.100000,0.655304,0.023288
27.200000,0.655324,0.023057
27.300000,0.655343,0.022827
27.400000,0.655363,0.022600
27.500000,0.655383,0.022375
27.600000,0.655402,0.022153
27.700000,0.655422,0.021932
27.800000,0.655442,0.021714
27.900000,0.655461,0.021498
28.000000,0.655481,0.021284
28.100000,0.655501,0.021072
28.200000,0.655520,0.020862
28.300000,0.655540,0.020655
28.400000,0.655559,0.020449
28.500000,0.655579,0.020246
28.600000,0.655599,0.020044
28.700000,0.655618,0.019845
28.800000,0.655638,0.019648
28.900000,0.655658,0.019452
29.000000,0.655678,0.019258
29.100000,0.655697,0.019067
29.200000,0.655717,0.018877
29.300000,0.655737,0.018689
29.400000,0.655756,0.018503
29.500000,0.655776,0.018319
29.600000,0.655796,0.018137
29.700000,0.655815,0.017957
29.800000,0.655835,0.017778
29.900000,0.655855,0.017601
30.000000,0.655874,0.017426
30.100000,0.655894,0.017252
30.200000,0.655914,0.017081
30.300000,0.655933,0.016911
30.400000,0.655953,0.016743
30.500000,0.655973,0.016576
30.600000,0.655992,0.016411
30.700000,0.656012,0.016248
30.800000,0.656032,0.016086
30.900000,0.656051,0.015926
31.000000,0.656071,0.015768
31.100000,0.656091,0.015611
31.200000,0.656110,0.015455
31.300000,0.656130,0.015302
31.400000,0.656150,0.015149
31.500000,0.656169,0.014999
31.600000,0.656189,0.014849
31.700000,0.656209,0.014702
31.800000,0.656228,0.014555
31.900000,0.656248,0.014410
32.000000,0.656268,0.014267
32.100000,0.656288,0.014125
32.200000,0.656307,0.013985
32.300000,0.656327,0.013845
32.400000,0.656347,0.013708
32.500000,0.656366,0.013571
32.600000,0.656386,0.013436
32.700000,0.656406,0.013303
32.800000,0.656425,0.013170
32.900000,0.656445,0.013039
33.000000,0.656465,0.012909
33.100000,0.656484,0.012781
33.200000,0.656504,0.012654
33.300000,0.656524,0.012528
33.400000,0.656544,0.012403
33.500000,0.656563,0.012280
33.600000,0.656583,0.012158
33.700000,0.656603,0.012037
33.800000,0.656622,0.011917
33.900000,0.656642,0.011798
34.000000,0.656662,0.011681
34.100000,0.656681,0.011565
34.200000,0.656701,0.011450
34.300000,0.656721,0.011336
34.400000,0.656741,0.011223
34.500000,0.656760,0.011111
34.600000,0.656780,0.011001
34.700000,0.656800,0.010891
34.800000,0.656819,0.010783
34.900000,0.656839,0.010676
35.000000,0.656859,0.010569
35.100000,0.656878,0.010464
35.200000,0.656898,0.010360
35.300000,0.656918,0.010257
35.400000,0.656938,0.010155
35.500000,0.656957,0.010054
35.600000,0.656977,0.009954
35.700000,0.656997,0.009855
35.800000,0.657016,0.009757
35.900000,0.657036,0.009660
36.000000,0.657056,0.009564
36.100000,0.657076,0.009468
36.200000,0.657095,0.009374
36.300000,0.657115,0.009281
36.400000,0.657135,0.009189
36.500000,0.657154,0.009097
36.600000,0.657174,0.009007
36.700000,0.657194,0.008917
36.800000,0.657214,0.008828
36.900000,0.657233,0.008740
37.000000,0.657253,0.008653
37.100000,0.657273,0.008567
37.200000,0.657292,0.008482
37.300000,0.657312,0.008398
37.400000,0.657332,0.008314
37.500000,0.657352,0.008231
37.600000,0.657371,0.008150
37.700000,0.657391,0.008068
37.800000,0.657411,0.007988
37.900000,0.657430,0.007909
38.000000,0.657450,0.007830
38.100000,0.657470,0.007752
38.200000,0.657490,0.007675
38.300000,0.657509,0.007599
38.400000,0.657529,0.007523
38.500000,0.657549,0.007448
38.600000,0.657568,0.007374
38.700000,0.657588,0.007301
38.800000,0.657608,0.007228
38.900000,0.657628,0.007156
39.000000,0.657647,0.007085
39.100000,0.657667,0.007014
39.200000,0.657687,0.006945
39.300000,0.657707,0.006875
39.400000,0.657726,0.006807
39.500000,0.657746,0.006739
39.600000,0.657766,0.006672
39.700000,0.657786,0.006606
39.800000,0.657805,0.006540
39.900000,0.657825,0.006475
40.000000,0.657845,0.006411
40.100000,0.657864,0.006347
40.200000,0.657884,0.006284
40.300000,0.657904,0.006221
40.400000,0.657924,0.006159
40.500000,0.657943,0.006098
40.600000,0.657963,0.006037
40.700000,0.657983,0.005977
40.800000,0.658003,0.005918
40.900000,0.658022,0.005859
41.000000,0.658042,0.005801
41.100000,0.658062,0.005743
41.200000,0.658082,0.005686
41.300000,0.658101,0.005629
41.400000,0.658121,0.005573
41.500000,0.658141,0.005518
41.600000,0.658161,0.005463
41.700000,0.658180,0.005408
41.800000,0.658200,0.005355
41.900000,0.658220,0.005301
42.000000,0.658240,0.005249
42.100000,0.658259,0.005196
42.200000,0.658279,0.005145
42.300000,0.658299,0.005093
42.400000,0.658319,0.005043
42.500000,0.658338,0.004993
42.600000,0.658358,0.004943
42.700000,0.658378,0.004894
42.800000,0.658398,0.004845
42.900000,0.658417,0.004797
43.000000,0.658437,0.004749
43.100000,0.658457,0.004702
43.200000,0.658477,0.004655
43.300000,0.658496,0.004609
43.400000,0.658516,0.004563
43.500000,0.658536,0.004518
43.600000,0.658556,0.004473
43.700000,0.658575,0.004428
43.800000,0.658595,0.004384
